DeviceSerial;Name1;Name2;DevicePositionID;StatusID;ExternalRef
8109265;KEYA RONA CENTRE;ABRTB91361D;1;4;91361D
8108759;GREENVALLEY CENTRE;ABKEM8401D;1;4;8401D
8109233;KOEDOE SUPERMARKET;ABRTB10419D;1;4;10419D
8109193;SAFARI GARDENS;ABRTB10028D;1;4;10028D
8109065;BP ELGIN;ABKEM90953D;1;4;90953D
8108348;TEMBISA MEGA MART;ABMID9388D;1;4;9388D
8109264;TUSCANY SHOP CENTRE;ABRTB13402D;1;4;13402D
8109216;WATERFALL MALL;ABRTB8103D;1;4;8103D
8109215;WILDEVY ANENUE;ABRTB8343D;1;4;8343D
8108955;SHELL ULTRA CITY;ABKLD8290D;1;4;8290D
8108959;KLERKSDORP BRANCH;ABKLD9925D;1;4;9925D
8108958;ORKNEY BRANCH;ABKLD9988D;1;4;9988D
8109234;RIDDERPARK;ABRTB10255D;1;4;10255D
8108979;CALA MAIN ROAD;MTHZ552;2;4;Z552
8108952;CALA MAIN ROAD;MTHZ552D;1;4;Z552D
8109175;RUSTENBURG MAIN BRANCH;ABRTB9433D;1;4;9433D
8108920;WILKOPPIES BRANCH;ABKLD11698D;1;4;11698D
8108957;SASOL BAILIE PARK;ABKLD12913D;1;4;12913D
8108980;BOITEKONG BRANCH;ABRTB91157D;1;4;91157D
8109174;MORULENG MALL;ABRTB90909D;1;4;90909D
8109214;PHOKENG MAIN BRANCH;ABRTB8717D;1;4;8717D
8108942;SUN CITY HOTEL;ABRTB90768D;1;4;90768D
8108973;SUN CITY VACATION CLUB;ABRTB9669D;1;4;9669D
8108962;SUN VILLAGE;ABRTB13523D;1;4;13523D
8108821;EMPANGENI BRANCH;ABRCB13177D;1;4;13177D
8108804;ESIKAWINI PLAZA;ABRCB12544D;1;4;12544D
8108837;ESIKHAWENI BRANCH 1;ABRCB8683D;1;4;8683D
8108818;EXCEL NGWENYA;ABRCB11270D;1;4;11270D
8108803;GAME EMPANGENI;ABRCB13152D;1;4;13152D
8109133;NGWELEZANA HOSPITAL;ABRCB8647D;1;4;8647D
8108793;RENKENS SPAR MANDENI;ABRCB12502D;1;4;12502D
8109118;SPAR MTUNZINI;ABRCB12242D;1;4;12242D
8108928;ZULULAND UNIVERSITY;ABRCB10006D;1;4;10006D
8109008;BROADWALK;ABRCB8384D;1;4;8384D
8109119;BROADWALK EXT;ABRCB10598D;1;4;10598D
8109007;CALTEX KZN MOTORS;ABRCB12285D;1;4;12285D
8109100;EMPANGENI MALL;ABRCB11434D;1;4;11434D
8109101;ENGEN RICHARDS BAY;ABRCB12082D;1;4;12082D
8109300;DUNDEE VICTORIA STREET;ABNCS8448D;1;4;8448D
8109134;FRESHSTOP BRACKENHAM;ABRCB91402D;1;4;91402D
8109162;MEERENSEE 1;ABRCB8793D;1;4;8793D
8109306;ENGEN NEWCASTLE N11;ABNCS9827D;1;5;9827D
8108390;GLENCOE SPAR;ABNCS10084D;1;4;10084D
8109114;P&P MEERENSEE;ABRCB9065D;1;4;9065D
8108393;NEWCASTLE BRANCH;ABNCS10341D;1;4;10341D
8108388;NEWCASTLE CASINO;ABNCS12927D;1;4;12927D
8109150;NEWCASTLE FRUIT & VEG;ABNCS9745D;1;4;9745D
8108472;RICHARDSBAY PLAZA;ABRCB12944D;1;4;12944D
8109063;P&P DUNDEE;ABNCS9227D;1;4;9227D
8109113;SPAR ESSENWOOD;ABRCB9447D;1;4;9447D
8109161;SHELL LEON MOTORS;ABNCS12015D;1;4;12015D
8109159;SPAR KWAMBONAMBI;ABRCB90763D;1;4;90763D
8109067;VILLAGE WALK;ABNCS8829D;1;4;8829D
8109116;SHELL ASSEGAI;ABRCB12950D;1;4;12950D
8109160;AMAJUBA MALL;ABNCS8972D;1;4;8972D
8109149;HUTTEN HEIGHTS;ABNCS8845D;1;4;8845D
8108822;ITHALA CENTRE;ABNCS13636D;1;4;13636D
